review_id,product_id,rating,review_text,review_date
56,14,3,Product quality was poor,2026-09-22
57,24,1,I would not buy this again,2026-09-22
58,87,1,Packaging was damaged,2026-09-22
59,15,3,Product caused irritation,2026-09-22
60,92,3,Not worth the price,2026-09-22
61,64,4,Works very well,2026-09-22
62,57,2,Product quality was poor,2026-09-22
63,74,3,Very poor quality,2026-09-22
64,96,2,Very disappointed,2026-09-22
65,67,2,Product caused irritation,2026-09-22
66,17,2,I would not buy this again,2026-09-22
67,19,3,Product caused irritation,2026-09-22
68,24,4,Amazing product,2026-09-22
69,15,3,Product quality was poor,2026-09-22
70,44,3,Product quality was poor,2026-09-22
71,84,2,Packaging was damaged,2026-09-22
72,5,1,Not worth the price,2026-09-22
73,8,5,I really liked this product,2026-09-22
74,22,2,I would not buy this again,2026-09-22
75,5,5,Highly recommended,2026-09-22
76,61,3,I would not buy this again,2026-09-22
77,23,2,Very disappointed,2026-09-22
78,8,2,Very poor quality,2026-09-22
79,22,5,I really liked this product,2026-09-22
80,19,4,Good value for money,2026-09-22
81,53,2,Product quality was poor,2026-09-22
82,97,5,Highly recommended,2026-09-22
83,82,4,Highly recommended,2026-09-22
84,7,4,Very good product,2026-09-22
85,1,3,Not worth the price,2026-09-22
86,19,2,I would not buy this again,2026-09-22
87,24,5,Very good product,2026-09-22
88,83,5,Highly recommended,2026-09-22
89,59,1,Very poor quality,2026-09-22
90,32,2,Very poor quality,2026-09-22
91,41,3,Not worth the price,2026-09-22
92,11,4,Very good product,2026-09-22
93,54,1,Packaging was damaged,2026-09-22
94,98,1,Product caused irritation,2026-09-22
95,83,4,I really liked this product,2026-09-22
96,8,2,Very poor quality,2026-09-22
97,75,2,Product quality was poor,2026-09-22
98,20,1,Not worth the price,2026-09-22
99,15,1,Not worth the price,2026-09-22
100,63,2,Very poor quality,2026-09-22
101,5,3,Very disappointed,2026-09-22
102,85,5,Excellent quality,2026-09-22
103,48,4,Very good product,2026-09-22
104,90,1,I would not buy this again,2026-09-22
105,70,4,Excellent quality,2026-09-22
106,80,1,Very disappointed,2026-09-22
107,15,2,Product caused irritation,2026-09-22
108,92,2,Very poor quality,2026-09-22
109,28,1,Very poor quality,2026-09-22
110,48,4,Works very well,2026-09-22
111,51,1,Product caused irritation,2026-09-22
112,25,3,Very poor quality,2026-09-22
113,41,2,Not worth the price,2026-09-22
114,81,5,Works very well,2026-09-22
115,14,5,Highly recommended,2026-09-22
116,81,2,Very disappointed,2026-09-22
117,65,3,I would not buy this again,2026-09-22
118,36,3,Product caused irritation,2026-09-22
119,42,4,Excellent quality,2026-09-22
120,39,5,Excellent quality,2026-09-22
121,12,5,Works very well,2026-09-22
122,76,3,I would not buy this again,2026-09-22
123,63,4,Good value for money,2026-09-22
124,51,4,I really liked this product,2026-09-22
125,97,3,Product caused irritation,2026-09-22
126,61,1,Product caused irritation,2026-09-22
127,5,1,Very disappointed,2026-09-22
128,64,1,Very disappointed,2026-09-22
129,33,3,Product quality was poor,2026-09-22
130,97,2,Very disappointed,2026-09-22
131,11,2,Product quality was poor,2026-09-22
132,20,2,Very disappointed,2026-09-22
133,89,5,I really liked this product,2026-09-22
134,15,4,Highly recommended,2026-09-22
135,62,4,I really liked this product,2026-09-22
136,76,5,I really liked this product,2026-09-22
137,23,2,Not worth the price,2026-09-22
138,31,5,Very good product,2026-09-22
139,92,1,Product caused irritation,2026-09-22
140,12,1,I would not buy this again,2026-09-22
141,56,5,Highly recommended,2026-09-22
142,66,2,Not worth the price,2026-09-22
143,38,4,Highly recommended,2026-09-22
144,50,4,Amazing product,2026-09-22
145,36,3,Not worth the price,2026-09-22
146,62,1,I would not buy this again,2026-09-22
147,3,2,Product quality was poor,2026-09-22
148,91,5,Highly recommended,2026-09-22
149,56,5,Excellent quality,2026-09-22
150,71,3,Product quality was poor,2026-09-22
151,1,2,Product quality was poor,2026-09-22
152,36,3,I would not buy this again,2026-09-22
153,87,4,Works very well,2026-09-22
154,59,1,Product quality was poor,2026-09-22
155,95,5,Amazing product,2026-09-22
156,19,2,Very poor quality,2026-09-22
157,41,4,Very good product,2026-09-22
158,54,3,I would not buy this again,2026-09-22
159,22,2,I would not buy this again,2026-09-22
160,36,2,Product caused irritation,2026-09-22
161,30,4,Excellent quality,2026-09-22
162,26,2,Packaging was damaged,2026-09-22
163,69,1,Very disappointed,2026-09-22
164,56,2,Packaging was damaged,2026-09-22
165,34,4,Good value for money,2026-09-22
166,56,2,Product quality was poor,2026-09-22
167,25,4,I really liked this product,2026-09-22
168,53,4,Very good product,2026-09-22
169,43,4,Highly recommended,2026-09-22
170,76,3,Product quality was poor,2026-09-22
171,2,5,Highly recommended,2026-09-22
172,38,3,Very disappointed,2026-09-22
173,51,5,Good value for money,2026-09-22
174,30,2,Packaging was damaged,2026-09-22
175,53,5,Very good product,2026-09-22
176,23,3,Product quality was poor,2026-09-22
177,85,5,I really liked this product,2026-09-22
178,54,4,Very good product,2026-09-22
179,78,5,Highly recommended,2026-09-22
180,5,3,Packaging was damaged,2026-09-22
181,18,4,Highly recommended,2026-09-22
182,94,4,Highly recommended,2026-09-22
183,30,5,Highly recommended,2026-09-22
184,69,1,Not worth the price,2026-09-22
185,74,1,Very disappointed,2026-09-22
186,77,3,Product quality was poor,2026-09-22
187,45,4,Amazing product,2026-09-22
188,45,5,Highly recommended,2026-09-22
189,45,4,Works very well,2026-09-22
190,32,3,Very disappointed,2026-09-22
191,13,2,Very disappointed,2026-09-22
192,25,5,Amazing product,2026-09-22
193,20,5,Highly recommended,2026-09-22
194,21,4,Very good product,2026-09-22
195,61,3,I would not buy this again,2026-09-22
196,26,4,Highly recommended,2026-09-22
197,37,2,Packaging was damaged,2026-09-22
198,11,1,Very disappointed,2026-09-22
199,83,3,Product quality was poor,2026-09-22
200,61,2,Product quality was poor,2026-09-22
201,3,5,Very good product,2026-09-22
202,14,3,Not worth the price,2026-09-22
203,58,4,Good value for money,2026-09-22
204,15,5,Very good product,2026-09-22
205,8,1,Packaging was damaged,2026-09-22
206,29,3,I would not buy this again,2026-09-22
207,45,1,Packaging was damaged,2026-09-22
208,19,5,Excellent quality,2026-09-22
209,51,2,Very disappointed,2026-09-22
210,92,5,Very good product,2026-09-22
211,3,4,Good value for money,2026-09-22
212,8,3,Very disappointed,2026-09-22
213,43,3,Very disappointed,2026-09-22
214,42,5,Excellent quality,2026-09-22
215,26,5,Highly recommended,2026-09-22
216,82,2,Product caused irritation,2026-09-22
217,48,1,I would not buy this again,2026-09-22
218,3,4,Very good product,2026-09-22
219,4,4,Works very well,2026-09-22
220,51,2,Very poor quality,2026-09-22
221,97,1,Very poor quality,2026-09-22
222,22,4,Good value for money,2026-09-22
223,43,4,Excellent quality,2026-09-22
224,8,3,Product quality was poor,2026-09-22
225,10,1,Not worth the price,2026-09-22
226,40,1,Very disappointed,2026-09-22
227,21,1,Not worth the price,2026-09-22
228,26,1,Not worth the price,2026-09-22
229,56,1,Not worth the price,2026-09-22
230,36,3,Not worth the price,2026-09-22
231,1,1,Product quality was poor,2026-09-22
232,37,5,Very good product,2026-09-22
233,96,3,Product caused irritation,2026-09-22
234,100,5,Works very well,2026-09-22
235,37,3,Not worth the price,2026-09-22
236,25,2,I would not buy this again,2026-09-22
237,21,5,Highly recommended,2026-09-22
238,42,1,Very poor quality,2026-09-22
239,68,2,Product caused irritation,2026-09-22
240,77,5,Good value for money,2026-09-22
241,82,5,I really liked this product,2026-09-22
242,32,5,I really liked this product,2026-09-22
243,53,4,Very good product,2026-09-22
244,95,1,Not worth the price,2026-09-22
245,12,2,Packaging was damaged,2026-09-22
246,95,3,Very poor quality,2026-09-22
247,52,2,I would not buy this again,2026-09-22
248,67,2,Packaging was damaged,2026-09-22
249,29,5,Excellent quality,2026-09-22
250,61,4,Good value for money,2026-09-22
251,29,3,Very poor quality,2026-09-22
252,31,2,Very poor quality,2026-09-22
253,38,5,I really liked this product,2026-09-22
254,4,1,Very disappointed,2026-09-22
255,35,2,Not worth the price,2026-09-22
256,61,5,Amazing product,2026-09-22
257,71,3,I would not buy this again,2026-09-22
258,81,5,Good value for money,2026-09-22
259,32,4,Good value for money,2026-09-22
260,27,3,Product quality was poor,2026-09-22
261,86,4,Works very well,2026-09-22
262,9,4,I really liked this product,2026-09-22
263,73,2,Not worth the price,2026-09-22
264,72,5,Works very well,2026-09-22
265,19,2,Not worth the price,2026-09-22
266,8,1,Packaging was damaged,2026-09-22
267,18,1,Product caused irritation,2026-09-22
268,43,3,Product quality was poor,2026-09-22
269,91,2,Packaging was damaged,2026-09-22
270,46,3,Not worth the price,2026-09-22
271,31,2,I would not buy this again,2026-09-22
272,81,5,I really liked this product,2026-09-22
273,29,3,Packaging was damaged,2026-09-22
274,15,1,Not worth the price,2026-09-22
275,25,2,Not worth the price,2026-09-22
276,69,5,Very good product,2026-09-22
277,57,4,Works very well,2026-09-22
278,67,3,Very disappointed,2026-09-22
279,17,2,Product caused irritation,2026-09-22
280,66,4,I really liked this product,2026-09-22
281,87,3,Packaging was damaged,2026-09-22
282,19,2,Very poor quality,2026-09-22
283,66,2,Not worth the price,2026-09-22
284,69,5,Excellent quality,2026-09-22
285,88,3,Packaging was damaged,2026-09-22
286,58,5,Very good product,2026-09-22
287,42,1,Very poor quality,2026-09-22
288,79,4,Very good product,2026-09-22
289,97,1,I would not buy this again,2026-09-22
290,69,4,Excellent quality,2026-09-22
291,17,5,Works very well,2026-09-22
292,14,5,Works very well,2026-09-22
293,8,2,Very disappointed,2026-09-22
294,29,2,Very poor quality,2026-09-22
295,37,4,Excellent quality,2026-09-22
296,53,5,Amazing product,2026-09-22
297,88,4,Works very well,2026-09-22
298,52,3,Not worth the price,2026-09-22
299,17,1,I would not buy this again,2026-09-22
300,71,2,Packaging was damaged,2026-09-22
301,3,1,Packaging was damaged,2026-09-22
302,38,5,Good value for money,2026-09-22
303,50,3,Very disappointed,2026-09-22
304,30,2,Very disappointed,2026-09-22
305,47,5,I really liked this product,2026-09-22
306,23,5,Works very well,2026-09-22
307,21,4,Amazing product,2026-09-22
308,17,1,I would not buy this again,2026-09-22
309,14,3,I would not buy this again,2026-09-22
310,50,3,Packaging was damaged,2026-09-22
311,6,4,I really liked this product,2026-09-22
312,6,5,Very good product,2026-09-22
313,69,5,Good value for money,2026-09-22
314,51,1,Very disappointed,2026-09-22
315,43,1,Very disappointed,2026-09-22
316,3,3,I would not buy this again,2026-09-22
317,97,2,Very poor quality,2026-09-22
318,78,1,Very disappointed,2026-09-22
319,56,5,I really liked this product,2026-09-22
320,54,3,Very disappointed,2026-09-22
321,45,3,Product quality was poor,2026-09-22
322,31,2,I would not buy this again,2026-09-22
323,61,4,Very good product,2026-09-22
324,36,5,Excellent quality,2026-09-22
325,79,5,Good value for money,2026-09-22
326,6,4,Very good product,2026-09-22
327,96,3,Product caused irritation,2026-09-22
328,84,1,Product quality was poor,2026-09-22
329,15,4,Very good product,2026-09-22
330,58,4,Good value for money,2026-09-22
331,70,2,Not worth the price,2026-09-22
332,58,4,Highly recommended,2026-09-22
333,83,4,Amazing product,2026-09-22
334,44,5,Highly recommended,2026-09-22
335,28,4,Excellent quality,2026-09-22
336,18,3,Product quality was poor,2026-09-22
337,60,3,Packaging was damaged,2026-09-22
338,15,2,Very poor quality,2026-09-22
339,68,3,Very poor quality,2026-09-22
340,1,3,Very poor quality,2026-09-22
341,18,5,Highly recommended,2026-09-22
342,97,4,Good value for money,2026-09-22
343,7,3,I would not buy this again,2026-09-22
344,3,4,Very good product,2026-09-22
345,6,3,I would not buy this again,2026-09-22
346,91,3,Product quality was poor,2026-09-22
347,18,1,I would not buy this again,2026-09-22
348,53,5,Amazing product,2026-09-22
349,91,2,Packaging was damaged,2026-09-22
350,93,4,Amazing product,2026-09-22
351,3,3,Very disappointed,2026-09-22
352,27,3,Product quality was poor,2026-09-22
353,97,1,Very poor quality,2026-09-22
354,92,1,Product caused irritation,2026-09-22
355,31,4,Excellent quality,2026-09-22
356,84,5,Very good product,2026-09-22
357,15,4,Very good product,2026-09-22
358,80,2,Product caused irritation,2026-09-22
359,89,4,I really liked this product,2026-09-22
360,2,4,Very good product,2026-09-22
361,74,1,Product caused irritation,2026-09-22
362,66,1,I would not buy this again,2026-09-22
363,74,3,Very poor quality,2026-09-22
364,28,2,I would not buy this again,2026-09-22
365,50,4,Excellent quality,2026-09-22
366,3,1,Not worth the price,2026-09-22
367,21,4,I really liked this product,2026-09-22
368,87,5,Highly recommended,2026-09-22
369,44,2,Very poor quality,2026-09-22
370,56,5,Very good product,2026-09-22
371,90,2,Very poor quality,2026-09-22
372,76,4,Very good product,2026-09-22
373,10,1,Product caused irritation,2026-09-22
374,90,1,Product quality was poor,2026-09-22
375,60,3,Packaging was damaged,2026-09-22
376,38,3,Packaging was damaged,2026-09-22
377,45,5,Highly recommended,2026-09-22
378,53,5,Good value for money,2026-09-22
379,23,2,Product quality was poor,2026-09-22
380,46,4,Works very well,2026-09-22
381,47,3,Not worth the price,2026-09-22
382,24,3,Not worth the price,2026-09-22
383,46,1,Very poor quality,2026-09-22
384,64,4,I really liked this product,2026-09-22
385,56,4,Good value for money,2026-09-22
386,54,3,Very disappointed,2026-09-22
387,72,4,I really liked this product,2026-09-22
388,92,5,Good value for money,2026-09-22
389,76,1,I would not buy this again,2026-09-22
390,44,1,Very poor quality,2026-09-22
391,51,4,Very good product,2026-09-22
392,77,5,I really liked this product,2026-09-22
393,100,3,Very disappointed,2026-09-22
394,7,5,Works very well,2026-09-22
395,56,2,I would not buy this again,2026-09-22
396,23,1,Product caused irritation,2026-09-22
397,79,4,Good value for money,2026-09-22
398,18,5,Amazing product,2026-09-22
399,2,4,Good value for money,2026-09-22
400,49,3,Product quality was poor,2026-09-22
401,22,1,Very poor quality,2026-09-22
402,92,5,Good value for money,2026-09-22
403,96,5,Amazing product,2026-09-22
404,4,1,Very disappointed,2026-09-22
405,30,3,Very poor quality,2026-09-22
406,20,2,Packaging was damaged,2026-09-22
407,25,3,Product quality was poor,2026-09-22
408,57,4,I really liked this product,2026-09-22
409,52,1,I would not buy this again,2026-09-22
410,74,4,Excellent quality,2026-09-22
411,14,3,Product quality was poor,2026-09-22
412,52,3,Very poor quality,2026-09-22
413,19,1,Product caused irritation,2026-09-22
414,36,2,Not worth the price,2026-09-22
415,32,5,I really liked this product,2026-09-22
416,80,1,I would not buy this again,2026-09-22
417,20,2,Packaging was damaged,2026-09-22
418,62,2,Product caused irritation,2026-09-22
419,67,2,Product quality was poor,2026-09-22
420,48,3,Very poor quality,2026-09-22
421,32,1,I would not buy this again,2026-09-22
422,4,5,Excellent quality,2026-09-22
423,21,5,Works very well,2026-09-22
424,19,1,Very poor quality,2026-09-22
425,31,4,Amazing product,2026-09-22
426,20,2,Product caused irritation,2026-09-22
427,86,2,Packaging was damaged,2026-09-22
428,82,3,Not worth the price,2026-09-22
429,87,2,Product caused irritation,2026-09-22
430,74,1,I would not buy this again,2026-09-22
431,38,5,Very good product,2026-09-22
432,95,1,Very poor quality,2026-09-22
433,52,1,Packaging was damaged,2026-09-22
434,33,2,I would not buy this again,2026-09-22
435,75,4,Highly recommended,2026-09-22
436,64,4,Very good product,2026-09-22
437,63,5,Works very well,2026-09-22
438,89,1,I would not buy this again,2026-09-22
439,42,2,Product quality was poor,2026-09-22
440,61,5,I really liked this product,2026-09-22
441,54,3,Packaging was damaged,2026-09-22
442,60,2,Packaging was damaged,2026-09-22
443,21,3,Not worth the price,2026-09-22
444,48,1,Product quality was poor,2026-09-22
445,77,2,I would not buy this again,2026-09-22
446,90,4,Very good product,2026-09-22
447,15,5,I really liked this product,2026-09-22
448,28,3,I would not buy this again,2026-09-22
449,81,5,Amazing product,2026-09-22
450,88,1,Very poor quality,2026-09-22
451,50,2,Not worth the price,2026-09-22
452,31,4,Amazing product,2026-09-22
453,67,2,Product caused irritation,2026-09-22
454,76,4,Highly recommended,2026-09-22
455,90,2,Packaging was damaged,2026-09-22
456,15,4,Good value for money,2026-09-22
457,14,5,Excellent quality,2026-09-22
458,93,3,Product caused irritation,2026-09-22
459,6,4,Good value for money,2026-09-22
460,92,1,I would not buy this again,2026-09-22
461,91,4,Amazing product,2026-09-22
462,45,4,Excellent quality,2026-09-22
463,45,5,I really liked this product,2026-09-22
464,68,5,Excellent quality,2026-09-22
465,84,2,Product caused irritation,2026-09-22
466,49,5,Highly recommended,2026-09-22
467,1,5,I really liked this product,2026-09-22
468,71,3,Packaging was damaged,2026-09-22
469,65,5,Amazing product,2026-09-22
470,3,5,I really liked this product,2026-09-22
471,13,1,Product caused irritation,2026-09-22
472,14,4,Very good product,2026-09-22
473,40,4,I really liked this product,2026-09-22
474,63,3,I would not buy this again,2026-09-22
475,66,2,Packaging was damaged,2026-09-22
476,81,1,I would not buy this again,2026-09-22
477,79,4,I really liked this product,2026-09-22
478,12,2,I would not buy this again,2026-09-22
479,64,5,Good value for money,2026-09-22
480,34,2,Product quality was poor,2026-09-22
481,31,2,Very disappointed,2026-09-22
482,68,1,Product quality was poor,2026-09-22
483,72,5,Excellent quality,2026-09-22
484,6,5,Very good product,2026-09-22
485,52,3,I would not buy this again,2026-09-22
486,87,2,Product caused irritation,2026-09-22
487,99,1,I would not buy this again,2026-09-22
488,17,4,Works very well,2026-09-22
489,91,2,Product quality was poor,2026-09-22
490,6,2,Product quality was poor,2026-09-22
491,68,4,Highly recommended,2026-09-22
492,56,1,Product quality was poor,2026-09-22
493,64,3,Product caused irritation,2026-09-22
494,26,5,Highly recommended,2026-09-22
495,66,2,I would not buy this again,2026-09-22
496,13,4,I really liked this product,2026-09-22
497,75,2,Product quality was poor,2026-09-22
498,24,5,Excellent quality,2026-09-22
499,29,1,Product quality was poor,2026-09-22
500,19,5,Excellent quality,2026-09-22
501,44,5,Amazing product,2026-09-22
502,40,1,Very poor quality,2026-09-22
503,5,2,Very disappointed,2026-09-22
504,86,5,Good value for money,2026-09-22
505,92,1,Packaging was damaged,2026-09-22
506,73,3,Packaging was damaged,2026-09-22
507,70,4,Amazing product,2026-09-22
508,16,1,Very poor quality,2026-09-22
509,98,4,Highly recommended,2026-09-22
510,67,1,Packaging was damaged,2026-09-22
511,55,5,Very good product,2026-09-22
512,38,5,Very good product,2026-09-22
513,90,1,I would not buy this again,2026-09-22
514,30,3,Not worth the price,2026-09-22
515,14,3,I would not buy this again,2026-09-22
516,90,5,Works very well,2026-09-22
517,9,3,Very poor quality,2026-09-22
518,10,1,Not worth the price,2026-09-22
519,52,2,Product caused irritation,2026-09-22
520,6,1,Packaging was damaged,2026-09-22
521,17,2,I would not buy this again,2026-09-22
522,72,4,Amazing product,2026-09-22
523,10,2,Product caused irritation,2026-09-22
524,24,1,Not worth the price,2026-09-22
525,68,3,Very poor quality,2026-09-22
526,12,3,Product caused irritation,2026-09-22
527,84,2,I would not buy this again,2026-09-22
528,42,5,I really liked this product,2026-09-22
529,9,2,Product quality was poor,2026-09-22
530,34,3,Product caused irritation,2026-09-22
531,29,1,Very poor quality,2026-09-22
532,76,4,I really liked this product,2026-09-22
533,61,1,Very poor quality,2026-09-22
534,46,3,Product quality was poor,2026-09-22
535,5,1,Product caused irritation,2026-09-22
536,54,3,I would not buy this again,2026-09-22
537,91,5,Very good product,2026-09-22
538,96,4,Highly recommended,2026-09-22
539,82,3,I would not buy this again,2026-09-22
540,92,4,Highly recommended,2026-09-22
541,9,2,I would not buy this again,2026-09-22
542,72,3,Packaging was damaged,2026-09-22
543,68,2,Very poor quality,2026-09-22
544,83,3,Packaging was damaged,2026-09-22
545,10,3,Very disappointed,2026-09-22
546,30,4,Good value for money,2026-09-22
547,88,4,I really liked this product,2026-09-22
548,88,1,I would not buy this again,2026-09-22
549,23,2,Packaging was damaged,2026-09-22
550,50,3,Product caused irritation,2026-09-22
551,13,4,Works very well,2026-09-22
552,77,5,Good value for money,2026-09-22
553,84,1,Product caused irritation,2026-09-22
554,78,5,Works very well,2026-09-22
555,8,5,Good value for money,2026-09-22
556,65,5,Highly recommended,2026-09-22
557,51,2,Product caused irritation,2026-09-22
558,90,3,I would not buy this again,2026-09-22
559,72,2,Very poor quality,2026-09-22
560,80,1,I would not buy this again,2026-09-22
561,10,2,Very disappointed,2026-09-22
562,56,1,Very poor quality,2026-09-22
563,47,1,Very disappointed,2026-09-22
564,94,4,Works very well,2026-09-22
565,43,2,Very disappointed,2026-09-22
566,85,4,Amazing product,2026-09-22
567,65,5,Works very well,2026-09-22
568,2,2,Packaging was damaged,2026-09-22
569,57,1,I would not buy this again,2026-09-22
570,48,5,I really liked this product,2026-09-22
571,41,1,Product caused irritation,2026-09-22
572,90,3,Very poor quality,2026-09-22
573,100,5,I really liked this product,2026-09-22
574,38,2,Packaging was damaged,2026-09-22
575,41,3,Packaging was damaged,2026-09-22
576,86,3,Product caused irritation,2026-09-22
577,19,5,Highly recommended,2026-09-22
578,65,2,Very poor quality,2026-09-22
579,77,5,Amazing product,2026-09-22
580,42,5,Very good product,2026-09-22
581,75,5,I really liked this product,2026-09-22
582,40,1,Product quality was poor,2026-09-22
583,8,1,Very poor quality,2026-09-22
584,67,4,I really liked this product,2026-09-22
585,98,5,Excellent quality,2026-09-22
586,82,1,Not worth the price,2026-09-22
587,91,2,Very disappointed,2026-09-22
588,52,3,Very disappointed,2026-09-22
589,15,1,I would not buy this again,2026-09-22
590,20,1,Product quality was poor,2026-09-22
591,18,5,Highly recommended,2026-09-22
592,91,3,Product caused irritation,2026-09-22
593,45,2,Very disappointed,2026-09-22
594,2,4,I really liked this product,2026-09-22
595,77,4,Works very well,2026-09-22
596,48,5,Good value for money,2026-09-22
597,93,5,Highly recommended,2026-09-22
598,2,2,Not worth the price,2026-09-22
599,49,1,Product caused irritation,2026-09-22
600,17,2,I would not buy this again,2026-09-22
601,93,2,Product quality was poor,2026-09-22
602,49,3,Very disappointed,2026-09-22
603,64,2,Product caused irritation,2026-09-22
604,44,2,Product caused irritation,2026-09-22
605,13,1,Packaging was damaged,2026-09-22
606,42,4,Works very well,2026-09-22
607,66,3,Very disappointed,2026-09-22
608,87,2,I would not buy this again,2026-09-22
609,76,1,Not worth the price,2026-09-22
610,74,3,Very poor quality,2026-09-22
611,39,1,Product caused irritation,2026-09-22
612,12,1,Product caused irritation,2026-09-22
613,36,4,Works very well,2026-09-22
614,98,1,Product caused irritation,2026-09-22
615,38,1,I would not buy this again,2026-09-22
616,97,4,Excellent quality,2026-09-22
617,26,4,Amazing product,2026-09-22
618,97,4,Amazing product,2026-09-22
619,6,1,Very disappointed,2026-09-22
620,69,5,I really liked this product,2026-09-22
621,51,2,Very poor quality,2026-09-22
622,13,5,Highly recommended,2026-09-22
623,66,4,Amazing product,2026-09-22
624,59,3,Not worth the price,2026-09-22
625,10,3,Product caused irritation,2026-09-22
626,2,5,Works very well,2026-09-22
627,46,2,I would not buy this again,2026-09-22
628,22,1,Product caused irritation,2026-09-22
629,77,1,I would not buy this again,2026-09-22
630,22,5,Amazing product,2026-09-22
631,91,1,Very disappointed,2026-09-22
632,30,2,Product quality was poor,2026-09-22
633,35,1,Very disappointed,2026-09-22
634,5,2,Product caused irritation,2026-09-22
635,70,3,Very poor quality,2026-09-22
636,78,5,I really liked this product,2026-09-22
637,53,2,Product caused irritation,2026-09-22
638,28,4,Highly recommended,2026-09-22
639,32,4,Highly recommended,2026-09-22
640,18,5,Highly recommended,2026-09-22
641,97,3,Not worth the price,2026-09-22
642,69,3,Packaging was damaged,2026-09-22
643,78,3,I would not buy this again,2026-09-22
644,24,5,Highly recommended,2026-09-22
645,98,1,Product caused irritation,2026-09-22
646,89,4,Works very well,2026-09-22
647,46,2,Not worth the price,2026-09-22
648,31,3,Very disappointed,2026-09-22
649,74,4,Very good product,2026-09-22
650,25,1,Very disappointed,2026-09-22
651,82,4,Works very well,2026-09-22
652,72,2,Packaging was damaged,2026-09-22
653,70,3,Product caused irritation,2026-09-22
654,44,3,Very poor quality,2026-09-22
655,64,3,Product quality was poor,2026-09-22
656,71,3,Very poor quality,2026-09-22
657,63,5,I really liked this product,2026-09-22
658,7,1,Very disappointed,2026-09-22
659,89,1,Not worth the price,2026-09-22
660,6,1,Not worth the price,2026-09-22
661,15,2,Very disappointed,2026-09-22
662,56,3,Product caused irritation,2026-09-22
663,68,1,Packaging was damaged,2026-09-22
664,29,2,Product quality was poor,2026-09-22
665,27,2,Product caused irritation,2026-09-22
666,39,4,Good value for money,2026-09-22
667,82,4,Good value for money,2026-09-22
668,91,4,Excellent quality,2026-09-22
669,21,5,Works very well,2026-09-22
670,27,1,I would not buy this again,2026-09-22
671,41,2,Packaging was damaged,2026-09-22
672,64,2,Not worth the price,2026-09-22
673,80,4,Highly recommended,2026-09-22
674,48,3,Product caused irritation,2026-09-22
675,73,2,Very disappointed,2026-09-22
676,100,4,Excellent quality,2026-09-22
677,19,3,Not worth the price,2026-09-22
678,13,4,Good value for money,2026-09-22
679,89,1,Not worth the price,2026-09-22
680,42,4,Highly recommended,2026-09-22
681,30,5,Highly recommended,2026-09-22
682,18,5,Very good product,2026-09-22
683,21,3,I would not buy this again,2026-09-22
684,6,2,Product caused irritation,2026-09-22
685,1,2,Product caused irritation,2026-09-22
686,58,1,Product quality was poor,2026-09-22
687,37,3,Not worth the price,2026-09-22
688,46,1,Packaging was damaged,2026-09-22
689,56,3,Product caused irritation,2026-09-22
690,92,5,Very good product,2026-09-22
691,79,2,Very poor quality,2026-09-22
692,55,1,Packaging was damaged,2026-09-22
693,83,5,Works very well,2026-09-22
694,74,4,Works very well,2026-09-22
